par_set,,,,,
p001,NA,NA,NA,NA,NA
p002,NA,NA,NA,NA,NA
p003,NA,NA,NA,NA,NA
p004,NA,NA,NA,NA,NA
p005,NA,NA,NA,NA,NA
p006,NA,NA,NA,NA,NA
p007,NA,NA,NA,NA,NA
p008,NA,NA,NA,NA,NA
p009,NA,NA,NA,NA,NA
p010,NA,NA,NA,NA,NA
p011,NA,NA,NA,NA,NA
p012,NA,NA,NA,NA,NA
p013,NA,NA,NA,NA,NA
p014,NA,NA,NA,NA,NA
p015,NA,NA,NA,NA,NA
p016,NA,NA,NA,NA,NA
p017,4.06594806716391,-0.425301706520662,0.700988025328311,-0.1766072047091,3.46861176470588,0.30862228357655
p018,NA,NA,NA,NA,NA
p019,NA,NA,NA,NA,NA
p020,NA,NA,NA,NA,NA
p021,NA,NA,NA,NA,NA
p022,NA,NA,NA,NA,NA
p023,NA,NA,NA,NA,NA
p024,NA,NA,NA,NA,NA
p025,NA,NA,NA,NA,NA
p026,NA,NA,NA,NA,NA
p027,NA,NA,NA,NA,NA
p028,NA,NA,NA,NA,NA
p029,NA,NA,NA,NA,NA
p030,NA,NA,NA,NA,NA
p031,NA,NA,NA,NA,NA
p032,NA,NA,NA,NA,NA
p033,NA,NA,NA,NA,NA
p034,NA,NA,NA,NA,NA
p035,NA,NA,NA,NA,NA
p036,4.18806449400751,-0.512202224341871,0.690944165793524,-0.234241062037256,3.6972731092437,0.337322100553117
p037,NA,NA,NA,NA,NA
p038,3.88972949683798,-0.304433522438625,0.703732362996405,-0.166376888418784,3.25571512605042,0.290510589456006
p039,NA,NA,NA,NA,NA
p040,NA,NA,NA,NA,NA
p041,NA,NA,NA,NA,NA
p042,NA,NA,NA,NA,NA
p043,3.84376800559559,-0.273788975048225,0.645929191406931,-0.274681513571718,3.37138655462185,0.311291648547616
p044,NA,NA,NA,NA,NA
p045,NA,NA,NA,NA,NA
p046,NA,NA,NA,NA,NA
p047,NA,NA,NA,NA,NA
p048,NA,NA,NA,NA,NA
p049,NA,NA,NA,NA,NA
p050,NA,NA,NA,NA,NA
p051,NA,NA,NA,NA,NA
p052,NA,NA,NA,NA,NA
p053,NA,NA,NA,NA,NA
p054,NA,NA,NA,NA,NA
p055,NA,NA,NA,NA,NA
p056,NA,NA,NA,NA,NA
p057,NA,NA,NA,NA,NA
p058,NA,NA,NA,NA,NA
p059,NA,NA,NA,NA,NA
p060,NA,NA,NA,NA,NA
p061,NA,NA,NA,NA,NA
p062,NA,NA,NA,NA,NA
p063,NA,NA,NA,NA,NA
p064,NA,NA,NA,NA,NA
p065,NA,NA,NA,NA,NA
p066,NA,NA,NA,NA,NA
p067,NA,NA,NA,NA,NA
p068,NA,NA,NA,NA,NA
p069,4.36100952375737,-0.639672907459231,0.690829279970066,-0.202077033040476,3.77718907563025,0.335643061192702
p070,NA,NA,NA,NA,NA
p071,NA,NA,NA,NA,NA
p072,NA,NA,NA,NA,NA
p073,NA,NA,NA,NA,NA
p074,NA,NA,NA,NA,NA
p075,NA,NA,NA,NA,NA
p076,NA,NA,NA,NA,NA
p077,NA,NA,NA,NA,NA
p078,NA,NA,NA,NA,NA
p079,NA,NA,NA,NA,NA
p080,NA,NA,NA,NA,NA
p081,NA,NA,NA,NA,NA
p082,4.22603264080822,-0.539745150132321,0.670915360292152,-0.268535159316,3.80313277310924,0.349063767845622
p083,NA,NA,NA,NA,NA
p084,NA,NA,NA,NA,NA
p085,3.37546352010301,0.017686781560156,0.67123755734784,-0.214439413894501,2.97963277310924,0.270743768332732
p086,NA,NA,NA,NA,NA
p087,NA,NA,NA,NA,NA
p088,NA,NA,NA,NA,NA
p089,NA,NA,NA,NA,NA
p090,NA,NA,NA,NA,NA
p091,NA,NA,NA,NA,NA
p092,NA,NA,NA,NA,NA
p093,NA,NA,NA,NA,NA
p094,NA,NA,NA,NA,NA
p095,NA,NA,NA,NA,NA
p096,NA,NA,NA,NA,NA
p097,NA,NA,NA,NA,NA
p098,NA,NA,NA,NA,NA
p099,NA,NA,NA,NA,NA
p100,NA,NA,NA,NA,NA
