"datetime","Longwave_Radiation_Downwelling_wattPerMeterSquared","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Air_Temperature_celsius","Relative_Humidity_percent","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Rainfall_millimeterPerDay","Surface_Level_Barometric_Pressure_pascal"
"1979-01-01",336.66750145,64.51568806425,2.4937511444375,95.8171641875,4.1187179703125,0.0082096499375,10000
"1979-01-02",342.3399976125,26.52970814375,4.26583633416667,94.0731821408333,2.591213475625,0.0146871,10000
"1979-01-03",246.844167708333,60.9378740825,-6.72041295395833,74.3872906395833,8.18487279808333,0.00254830004166667,10000
"1979-01-04",203.624167125,75.6247501320833,-11.00582605875,70.19292741,5.73966326983333,0,10000
"1979-01-05",207.330833441667,74.4584162195833,-10.59665654575,67.411293095,5.59167800095833,0.0005944,10000
"1979-01-06",248.967087429167,27.1761247341667,-9.05708033258333,86.8995814566667,3.73293085458333,0.0017836,10000
"1979-01-07",264.957088466667,39.7014165745833,-5.30458170566667,92.2760026320833,4.138124118125,0.013552800375,10000
"1979-01-08",303.381257370833,29.747624756625,-2.03291422516667,92.2417677595833,4.575879035,0.0133418999583333,10000
"1979-01-09",215.062918341667,96.0077506729167,-8.94290644354167,81.40324154125,4.93197669591667,3.24e-05,10000
"1979-01-10",217.126667666667,81.81841707375,-11.7341649368333,79.1224660366667,3.49493930941667,5.68e-05,10000
"1979-01-11",212.531249991667,82.553666595,-14.84374847375,74.48832260375,5.03773055208333,0,10000
"1979-01-12",202.674167,70.033583165,-16.1466595958333,80.1030116829167,2.796601719,0.00401700066666667,10000
"1979-01-13",286.402502679167,44.181083045,-6.21999969495833,89.5860170441667,6.45171131795833,0.00601030020833333,10000
"1979-01-14",305.472087216667,30.853125335,-0.735412343291667,92.6179281175,6.6843955295,0.00505590004166667,10000
"1979-01-15",231.8966649375,71.3484167279167,-11.70749766075,69.6451993975,8.64870353958333,0,10000
"1979-01-16",228.637498858333,32.3169588229167,-12.3695790609167,85.47853819625,3.750477560875,0.00242190004166667,10000
"1979-01-17",220.835830695833,88.25991662375,-12.3254112245,84.5760688725,4.575839667125,0.005097,10000
"1979-01-18",226.1120878875,61.5317508425,-12.9591627755,82.8506704995833,7.56613958404167,0.0011356,10000
"1979-01-19",148.782501858333,109.810960133333,-20.15708262125,81.9295247641667,5.906736171625,0.0002205,10000
"1979-01-20",242.035008108333,55.1384166075,-13.9295791622083,81.9688424170833,2.92969114391667,0.00355389995833333,10000
"1979-01-21",308.0404218125,31.003958385,-2.27958017975,94.9422456095833,7.53560837691667,0.0341501012083333,10000
"1979-01-22",273.3958428625,73.3417089758333,-2.91124572754167,84.83835326,7.325985928875,0.0001993,10000
"1979-01-23",196.411249791667,111.26187546625,-7.801251475125,84.8258985954167,4.02634031258333,0,10000
"1979-01-24",239.697090145833,100.391041117083,-6.05583038254167,85.25318704875,7.34490027366667,0.0044783,10000
"1979-01-25",303.99834315,47.9083342579167,-0.497908020041667,92.0817444391667,10.3809537396667,0.03635130025,10000
"1979-01-26",301.705008179167,30.9468336904167,-0.477487945583333,94.6671950470833,5.08555849645833,0.00298990008333333,10000
"1979-01-27",263.282083520833,96.3075845983333,-0.791658783041667,94.4158251170833,6.678556097125,8.22e-05,10000
"1979-01-28",298.503337870833,78.8111244829167,-0.479575856458333,94.1769740566667,5.18532836629167,9.46e-05,10000
"1979-01-29",289.640850058333,56.5012508975,-1.07957941695833,90.8202634208333,8.38143392204167,0.0003391,10000
"1979-01-30",282.830838533333,70.9499157320833,-4.03582865408333,86.79950752875,9.66586121495833,0.0019091,10000
"1979-01-31",282.106250770833,57.8451251991667,-6.83832270304167,85.5470717170833,6.82771197829167,0.0021859,10000
"1979-02-01",260.590003966667,52.4965837779167,-10.5004117330833,81.6892150325,8.85842007208333,2.23e-05,10000
"1979-02-02",247.4929211875,79.7084576295833,-13.6412478125,79.8872621545833,10.173852743625,0,10000
"1979-02-03",192.4737516875,128.122127845833,-12.6554105124583,81.0357621091667,7.74888965516667,0,10000
"1979-02-04",196.570835116667,111.643958089167,-13.3495830539167,79.08124826625,4.124092943,0,10000
"1979-02-05",230.533749258333,54.1124580733333,-11.8349899290833,75.1357072875,9.89228724804167,0,10000
"1979-02-06",155.655834833333,137.231916108333,-17.7087501525,75.6726221445833,10.5538924710833,0,10000
"1979-02-07",214.277501441667,113.524082658208,-14.74124438075,79.0247467895833,3.28721031141667,0.0003874,10000
"1979-02-08",251.315416345833,52.2839171608333,-11.0662356055833,82.5903764858333,4.967960494125,0.0003733,10000
"1979-02-09",177.538332604167,110.971165795583,-16.7645763408333,76.70637675875,7.15209406670833,0,10000
"1979-02-10",153.120417283333,129.770332140458,-21.95833435,74.4019093883333,7.144842889375,0,10000
"1979-02-11",122.676666883333,150.044789692458,-24.9712483733333,74.6656940216667,6.94729264170833,0,10000
"1979-02-12",162.021250091667,139.829583608042,-22.40166575125,75.3408357004167,3.83294191154167,0,10000
"1979-02-13",150.520001095833,145.261458441667,-21.5529172258333,71.5861733033333,6.57052881758333,0,10000
"1979-02-14",129.7066669375,155.874039885,-23.779585265,74.29936265,7.47257257075,0,10000
"1979-02-15",171.521664304167,154.432166730417,-21.34458071375,73.49688318,6.33273062995833,0,10000
"1979-02-16",218.222915654167,75.3556667180417,-19.2304150891667,75.8437112029167,7.04722987629167,0.0019922,10000
"1979-02-17",121.6308333,164.35150003375,-24.2887507116667,72.1074292875,9.064760399375,0,10000
