67	2
0	16476140.5769965
-0.5	16063292.6444441
-1	15773894.7696456
-1.5	15503355.6769809
-2	15227076.2935457
-2.5	14944819.9760221
-3	14684206.3802373
-3.5	14411939.7913513
-4	14140798.9485352
-4.5	13856297.9001095
-5	13569017.9830069
-5.5	13277350.0226652
-6	12980797.0681166
-6.5	12665770.7219805
-7	12347559.8329082
-7.5	12003448.3326828
-8	11633983.8815543
-8.5	11243289.1441839
-9	10831688.6599792
-9.5	10352414.9480692
-10	9834901.3662826
-10.5	9259457.50025388
-11	8609028.12799414
-11.5	8010080.5095615
-12	7463226.53696389
-12.5	6915287.38572239
-13	6457014.07797389
-13.5	6004956.03794126
-14	5568849.44785006
-14.5	5148408.64540931
-15	4786912.31285918
-15.5	4404248.23551552
-16	4041012.57457822
-16.5	3643536.31583826
-17	3255038.98070632
-17.5	2971088.97314966
-18	2717182.52512029
-18.5	2478588.59007381
-19	2228601.96957588
-19.5	1982166.68915711
-20	1734414.6577047
-20.5	1500065.08959718
-21	1277971.95505174
-21.5	1083922.74399664
-22	921933.631599935
-22.5	794447.114965084
-23	673760.713103403
-23.5	573559.171031939
-24	481302.083207031
-24.5	399208.825889474
-25	325507.954813226
-25.5	267640.212019424
-26	213528.336743888
-26.5	167573.894701093
-27	133122.008221664
-27.5	104204.194764197
-28	78536.8463101625
-28.5	62363.9658354701
-29	51569.649916638
-29.5	41316.2330103373
-30	33010.0525491502
-30.5	24943.8960247739
-31	6774.76013195729
-31.5	153.818156688651
-32	64.231757738118
-32.5	38.877116525703
-33	15.212784727449
