2006-05-30 20:00:00	29   2
-0.5	17.2
-1	17
-2	16.4
-3	16.3
-4	16.2
-5	13.2
-6	12.3
-7	11.7
-8	11.2
-9	10.9
-10	10.8
-11	10.5
-12	10.3
-13	9.9
-14	9.7
-15	9.7
-16	9.5
-17	9.4
-18	9.1
-19	8.8
-20	8.5
-21	8.3
-22	8.2
-23	8.2
-24	8.2
-25	8.1
-26	8.1
-27	8
-28	8
