!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-02-28 00:00:00	4.7827703	0	10000	-3.2274943	84.751929	0.39436342	178.88929	9.2592593e-15
1979-03-01 00:00:00	4.2704231	0	10000	-2.784997	83.536134	0.97649876	76.579166	0
1979-03-02 00:00:00	4.2583331	0	10000	-0.97957458	94.91708	0.96956143	78.73204	3.7254629e-11
1979-03-03 00:00:00	4.4415145	0	10000	-1.1287483	93.525261	0.67034782	145.18821	1.1354167e-12
1979-03-04 00:00:00	4.8345856	0	10000	-1.3191589	92.558918	0.33117911	192.96158	1.4027778e-12
1979-03-05 00:00:00	5.4845365	0	10000	4.2579208	91.082386	1	65.185875	8.284375e-11
1979-03-06 00:00:00	4.3175608	0	10000	4.8450015	88.800814	0.96527762	82.700333	2.4214352e-10
1979-03-07 00:00:00	3.665851	0	10000	3.3600085	83.639486	0.46475458	183.66075	3.4765046e-11
1979-03-08 00:00:00	5.4221133	0	10000	0.17000605	85.091306	0.38963928	196.27879	0
1979-03-09 00:00:00	3.6815518	0	10000	-0.4845782	77.259052	0.68043185	154.66608	3.7416667e-11
1979-03-10 00:00:00	4.6770496	0	10000	0.57750727	86.14002	1	69.433251	6.4928241e-11
1979-03-11 00:00:00	6.3815209	0	10000	-0.52540944	80.361324	0.95034438	93.381583	5.5457176e-11
1979-03-12 00:00:00	9.7363105	0	10000	-7.7579127	66.651909	0.82640619	129.11296	0
1979-03-13 00:00:00	6.1857312	0	10000	-6.1629115	75.840449	0.72202472	154.56546	2.2476852e-12
1979-03-14 00:00:00	6.6322691	0	10000	2.5987602	86.76695	1	72.66621	5.9711807e-11
1979-03-15 00:00:00	8.7174322	0	10000	-9.0666578	61.1709	0.73137288	156.92421	0
1979-03-16 00:00:00	4.3546368	0	10000	-9.4145747	71.279408	0.88739967	118.48496	0
1979-03-17 00:00:00	3.9617079	0	10000	-4.171244	73.784467	0.78798384	145.20687	0
