"",-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
149.8333,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
150.8333,NaN,6.2695E-007,2.0883E-006,3.8978E-006,2.3117E-006,5.1482E-006,1.1522E-005,2.0437E-005,3.0779E-005,3.9614E-005,1.3102E-005,1.8963E-005,2.4625E-005,2.3426E-005,2.0053E-005,2.0813E-005,1.9267E-005,1.7104E-005,1.7671E-005,1.6924E-005,1.8708E-005,1.7884E-005,1.7637E-005,1.4101E-005,1.5096E-005,1.5419E-005,1.5102E-005,1.3809E-005,1.2758E-005,1.1329E-005,1.0343E-005,9.0554E-006,8.8160E-006,8.9631E-006,1.0779E-005,9.9823E-006,8.4560E-006,8.1869E-006,7.2525E-006,7.7305E-006,7.4390E-006,7.2039E-006,6.8461E-006,7.5535E-006,7.0516E-006,7.1601E-006,7.1916E-006,6.0124E-006,5.1391E-006,4.5397E-006,3.7777E-006,3.4508E-006,3.1621E-006,2.8783E-006,2.6191E-006,2.5237E-006,2.3230E-006,2.2407E-006,2.1497E-006,2.0814E-006,2.0437E-006,2.3376E-006,3.8333E-006,1.4391E-005,7.6150E-005,1.9459E-004,1.8662E-004
151.8333,NaN,1.5124E-005,3.6897E-005,3.2275E-005,3.4317E-005,6.1772E-005,6.5232E-005,2.8259E-005,2.5594E-005,2.6501E-005,2.5402E-005,2.8156E-005,3.1191E-005,2.9709E-005,2.8766E-005,2.9403E-005,2.8275E-005,2.5694E-005,2.6446E-005,2.4542E-005,2.3116E-005,2.1408E-005,2.1737E-005,1.9857E-005,2.1341E-005,2.1654E-005,2.1091E-005,1.9269E-005,1.7819E-005,1.5793E-005,1.4413E-005,1.2586E-005,1.2255E-005,1.2531E-005,1.5242E-005,1.4114E-005,1.1886E-005,1.1503E-005,1.0131E-005,1.0848E-005,1.0434E-005,1.0055E-005,9.5296E-006,1.0527E-005,9.8123E-006,9.9943E-006,1.0087E-005,8.4403E-006,7.2364E-006,6.4225E-006,5.3376E-006,4.9013E-006,4.5013E-006,4.0892E-006,3.6972E-006,3.5656E-006,3.2630E-006,3.1419E-006,3.0593E-006,3.0691E-006,3.1037E-006,3.4619E-006,4.6597E-006,7.1507E-005,6.4978E-005,6.3668E-004,5.7122E-004
152.8333,NaN,2.3406E-005,5.7068E-005,4.8081E-005,4.8720E-005,8.9915E-005,9.2688E-005,3.9891E-005,3.6332E-005,3.7425E-005,3.5590E-005,3.9898E-005,4.4191E-005,4.2272E-005,4.1029E-005,4.1863E-005,4.0191E-005,3.6046E-005,3.7042E-005,3.4370E-005,3.2378E-005,3.0020E-005,3.0496E-005,2.7925E-005,3.0010E-005,3.0478E-005,2.9701E-005,2.7157E-005,2.5112E-005,2.2261E-005,2.0306E-005,1.7733E-005,1.7259E-005,1.7650E-005,2.1439E-005,1.9849E-005,1.6712E-005,1.6165E-005,1.4246E-005,1.5262E-005,1.4691E-005,1.4160E-005,1.3423E-005,1.4820E-005,1.3818E-005,1.4073E-005,1.4199E-005,1.1878E-005,1.0174E-005,9.0221E-006,7.4939E-006,6.8831E-006,6.3182E-006,5.7306E-006,5.1757E-006,4.9999E-006,4.6134E-006,4.4604E-006,4.3540E-006,4.2983E-006,3.9545E-006,6.0801E-006,7.9982E-005,9.8796E-004,1.4189E-003,1.3229E-003,8.2606E-004
153.8333,NaN,4.5699E-005,1.1170E-004,9.9241E-005,9.4851E-005,1.6885E-004,1.8578E-004,9.1805E-005,7.8223E-005,7.7412E-005,7.5226E-005,8.1145E-005,9.7159E-005,8.6182E-005,8.4442E-005,8.5912E-005,8.3764E-005,7.8816E-005,7.9084E-005,7.5703E-005,7.2343E-005,6.8564E-005,6.8474E-005,6.4243E-005,6.7847E-005,6.8769E-005,6.7200E-005,6.2330E-005,5.7577E-005,5.1091E-005,4.6536E-005,4.0690E-005,3.9560E-005,4.0520E-005,4.8947E-005,4.5416E-005,3.8313E-005,3.6963E-005,3.2646E-005,3.4905E-005,3.3639E-005,3.2424E-005,3.0778E-005,3.3917E-005,3.1689E-005,3.2255E-005,3.2505E-005,2.7211E-005,2.3281E-005,2.0615E-005,1.7103E-005,1.5689E-005,1.4387E-005,1.3037E-005,1.1773E-005,1.1393E-005,1.0542E-005,1.0255E-005,1.0387E-005,1.3130E-005,2.5426E-005,2.5583E-004,1.3302E-004,1.0600E-003,1.7240E-003,1.4708E-003,9.1923E-004
154.8333,NaN,4.6733E-005,1.1410E-004,1.0123E-004,9.4733E-005,1.6724E-004,1.8183E-004,9.2656E-005,7.9439E-005,7.9589E-005,7.0428E-005,8.2680E-005,9.7458E-005,8.7387E-005,8.3292E-005,8.7148E-005,8.2270E-005,7.5247E-005,7.6394E-005,7.3353E-005,7.0293E-005,6.6861E-005,6.6818E-005,6.3570E-005,6.6238E-005,6.7059E-005,6.5640E-005,6.1323E-005,5.7064E-005,5.1429E-005,4.6913E-005,4.1196E-005,4.0030E-005,4.1013E-005,4.8500E-005,4.5681E-005,3.8743E-005,3.7363E-005,3.3009E-005,3.5293E-005,3.4026E-005,3.2803E-005,3.1148E-005,3.4323E-005,3.2069E-005,3.2635E-005,3.2873E-005,2.7499E-005,2.3511E-005,2.0809E-005,1.7258E-005,1.5835E-005,1.4529E-005,1.3177E-005,1.1908E-005,1.1521E-005,1.0657E-005,1.0341E-005,1.0122E-005,1.1157E-005,1.8443E-005,1.3758E-004,8.5996E-005,9.1544E-004,1.3634E-003,1.1658E-003,7.5319E-004
155.8333,NaN,3.2819E-005,7.9794E-005,6.6960E-005,6.5294E-005,1.1900E-004,1.2220E-004,5.6222E-005,4.8009E-005,4.7677E-005,4.5741E-005,5.0057E-005,5.8938E-005,5.2928E-005,5.1891E-005,5.2854E-005,5.0960E-005,4.7111E-005,4.7431E-005,4.4980E-005,4.2758E-005,4.0309E-005,4.0404E-005,3.8015E-005,3.9987E-005,4.0545E-005,3.9592E-005,3.6687E-005,3.3994E-005,3.0377E-005,2.7670E-005,2.4161E-005,2.3491E-005,2.4034E-005,2.8825E-005,2.6968E-005,2.2710E-005,2.1944E-005,1.9353E-005,2.0731E-005,1.9972E-005,1.9255E-005,1.8265E-005,2.0160E-005,1.8805E-005,1.9145E-005,1.9301E-005,1.6129E-005,1.3796E-005,1.2221E-005,1.0141E-005,9.3132E-006,8.5520E-006,7.7629E-006,7.0133E-006,6.7735E-006,6.2431E-006,6.0122E-006,5.7942E-006,5.6294E-006,6.2161E-006,1.7924E-005,2.4821E-005,3.3762E-004,7.4868E-005,2.7178E-004,1.5469E-004
156.8333,NaN,3.7695E-005,9.2564E-005,7.6725E-005,7.5733E-005,1.4153E-004,1.4460E-004,6.2901E-005,5.5814E-005,5.7281E-005,5.4626E-005,6.0400E-005,6.6475E-005,6.3500E-005,6.1475E-005,6.2416E-005,6.0153E-005,5.5699E-005,5.6022E-005,5.3107E-005,5.0047E-005,4.6486E-005,4.7146E-005,4.3342E-005,4.6474E-005,4.7230E-005,4.6040E-005,4.2157E-005,3.8966E-005,3.4566E-005,3.1502E-005,2.7526E-005,2.6768E-005,2.7390E-005,3.3161E-005,3.0722E-005,2.5888E-005,2.5016E-005,2.2074E-005,2.3641E-005,2.2779E-005,2.1965E-005,2.0841E-005,2.2998E-005,2.1458E-005,2.1846E-005,2.2024E-005,1.8413E-005,1.5756E-005,1.3960E-005,1.1587E-005,1.0643E-005,9.7729E-006,8.8694E-006,8.0174E-006,7.7508E-006,7.1468E-006,6.8912E-006,6.7464E-006,7.5229E-006,1.8297E-005,1.3556E-004,3.7099E-004,1.4783E-003,1.8501E-003,1.5093E-003,9.3271E-004
157.8333,NaN,4.5299E-005,1.1050E-004,9.8108E-005,9.1453E-005,1.6144E-004,1.7566E-004,8.9880E-005,7.7095E-005,7.7246E-005,6.8334E-005,8.0202E-005,9.4483E-005,8.4722E-005,8.0773E-005,8.4485E-005,7.9910E-005,7.2464E-005,7.3685E-005,7.0843E-005,6.7961E-005,6.4723E-005,6.4697E-005,6.1649E-005,6.4211E-005,6.5028E-005,6.3696E-005,5.9576E-005,5.5474E-005,5.0029E-005,4.5639E-005,4.0038E-005,3.8906E-005,3.9866E-005,4.7237E-005,4.4473E-005,3.7646E-005,3.6307E-005,3.2073E-005,3.4297E-005,3.3060E-005,3.1869E-005,3.0253E-005,3.3343E-005,3.1135E-005,3.1683E-005,3.1914E-005,2.6685E-005,2.2816E-005,2.0197E-005,1.6751E-005,1.5371E-005,1.4099E-005,1.2775E-005,1.1524E-005,1.1125E-005,1.0243E-005,9.7747E-006,9.4654E-006,1.3020E-005,3.1604E-005,2.7236E-004,2.5206E-004,1.0034E-003,1.3422E-003,1.1092E-003,7.0118E-004
