!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-02-28 00:00:00	7.2707674	0	10000	-3.2274943	84.751929	0.39436342	167.72123	9.2592593e-15
1979-03-01 00:00:00	6.4918972	0	10000	-2.784997	83.536134	0.97649876	71.798329	0
1979-03-02 00:00:00	6.473518	0	10000	-0.97957458	94.91708	0.96956143	73.816799	3.7254629e-11
1979-03-03 00:00:00	6.7519903	0	10000	-1.1287483	93.525261	0.67034782	136.12411	1.1354167e-12
1979-03-04 00:00:00	7.349537	0	10000	-1.3191589	92.558918	0.33117911	180.91499	1.4027778e-12
1979-03-05 00:00:00	8.3375924	0	10000	4.2579208	91.082386	1	61.116321	8.284375e-11
1979-03-06 00:00:00	6.5635559	0	10000	4.8450015	88.800814	0.96527762	77.537351	2.4214352e-10
1979-03-07 00:00:00	5.5728267	0	10000	3.3600085	83.639486	0.46475458	172.19481	3.4765046e-11
1979-03-08 00:00:00	8.2426966	0	10000	0.17000605	85.091306	0.38963928	184.02511	0
1979-03-09 00:00:00	5.596695	0	10000	-0.4845782	77.259052	0.68043185	145.01028	3.7416667e-11
1979-03-10 00:00:00	7.1100508	0	10000	0.57750727	86.14002	1	65.098533	6.4928241e-11
1979-03-11 00:00:00	9.7011881	0	10000	-0.52540944	80.361324	0.95034438	87.551771	5.5457176e-11
1979-03-12 00:00:00	14.801139	0	10000	-7.7579127	66.651909	0.82640619	121.05244	0
1979-03-13 00:00:00	9.4035486	0	10000	-6.1629115	75.840449	0.72202472	144.91594	2.2476852e-12
1979-03-14 00:00:00	10.082375	0	10000	2.5987602	86.76695	1	68.129659	5.9711807e-11
1979-03-15 00:00:00	13.25224	0	10000	-9.0666578	61.1709	0.73137288	147.12743	0
1979-03-16 00:00:00	6.6199189	0	10000	-9.4145747	71.279408	0.88739967	111.08794	0
1979-03-17 00:00:00	6.0225883	0	10000	-4.171244	73.784467	0.78798384	136.14161	0
1979-03-18 00:00:00	10.373655	0	10000	-5.7654086	79.996745	0.7678408	142.36684	0
1979-03-19 00:00:00	9.2414671	0	10000	-1.3633242	80.246851	0.74860571	147.12747	0
1979-03-20 00:00:00	11.007659	0	10000	0.50875753	72.582451	0.41846362	206.9596	0
1979-03-21 00:00:00	6.6787716	0	10000	3.8387568	79.119056	0.26433459	222.86742	0
1979-03-22 00:00:00	4.417726	0	10000	6.1095901	66.057302	0.20519626	229.49229	0
