par_id,rmse,nse,r,re,mae,nmae
p001,6.72485172171826,-0.769830739013198,0.293037932437093,0.487759488615245,5.4910598833267,0.552486230054683
p002,7.11748145087862,-0.982526476516878,0.299292702662113,0.54767588015332,5.73520455523713,0.59070646247828
p003,7.75203912860275,-1.35178827235661,0.279537511211336,0.604651153619817,6.13170897928003,0.635155848927937
p004,8.51787416084272,-1.83941418388875,0.271158951879589,0.694479139113492,6.78410936447039,0.707979874852246
p005,8.47389725874524,-1.81017066718482,0.271111346082246,0.688923157495274,6.74667362480947,0.703600253442802
p006,6.11746780554468,-0.464568513065661,0.284716411405542,0.376737855783924,5.05696368446089,0.483531597832783
p007,6.90270750390964,-0.864684023779233,0.293426939960202,0.500897910405258,5.56052332251039,0.560751472757301
p008,7.39127349908372,-1.13798598287488,0.296019659412148,0.580127322453575,5.90282681870134,0.613354101427768
p009,7.71574568625279,-1.329818650006,0.288392025754561,0.599589308722391,6.09526904249844,0.630225530526106
p010,7.24480402873396,-1.05409058840258,0.303873140396293,0.561623282124228,5.79312696326269,0.599031084738269
p011,8.64975320166427,-1.92801798750004,0.273672976729051,0.708457536465518,6.91333285815095,0.72020387283675
p012,7.13718919320692,-0.993520593929821,0.280224484525482,0.536680450687705,5.7586003764035,0.587695358011597
p013,8.34859120865673,-1.72767548469503,0.275696595747187,0.672968480290079,6.64397698297893,0.690841220883591
p014,7.97598646692933,-1.48963181316803,0.277563541515253,0.636822089961182,6.30549579352549,0.65861464852892
p015,6.54072133902114,-0.674239568477518,0.307363983477574,0.464148517611417,5.34489320434936,0.533876711804572
p016,8.09040680106321,-1.56157470866851,0.27329359631432,0.653894753988764,6.3971654967086,0.671450716050714
p017,7.5141543953423,-1.20966550912797,0.277653816282732,0.580094442649986,5.98460522971741,0.617714643956441
p018,6.15833715948783,-0.484202751486352,0.290131305366592,0.391024335586948,5.09107942319896,0.490924964380839
p019,7.02461067381062,-0.931126958160483,0.282602981806168,0.52846651077043,5.70370876625793,0.581675875108672
p020,6.96713310315443,-0.899654073110407,0.290963957898725,0.512203763795205,5.61743096488796,0.568919669516872
p021,7.1979561382467,-1.02761128551587,0.278109174728875,0.550577829584151,5.81847069361439,0.597392258357867
p022,7.16268237697548,-1.00778726083782,0.284807323158919,0.538448051630868,5.75616189225079,0.587811655501177
p023,6.78350477734976,-0.800837718643976,0.302370409212401,0.49669640887475,5.50550227328523,0.556269672366432
p024,6.34577989092291,-0.575927798427479,0.284811389759439,0.418735497293818,5.22519816241852,0.50968955800287
p025,6.7262147910091,-0.77054827049692,0.286305092567885,0.471796934978561,5.45587137170034,0.543438542626621
p026,8.18727997491078,-1.62328570014546,0.279619576746277,0.652910179443083,6.50747173975592,0.674690897152942
p027,6.05042689373358,-0.432644192497288,0.295977639179274,0.360818031981797,4.96707352448816,0.471440269872562
p028,8.30630714404522,-1.70011511605575,0.28953300182595,0.674573910942548,6.57968691407818,0.687797464954215
p029,8.21390308175035,-1.64037405362147,0.2871645168677,0.65460352650891,6.52696754377182,0.675534554383951
p030,6.66312555157196,-0.737489950373372,0.284484733209209,0.461218156113921,5.41479381992392,0.536921986480585
p031,8.31413305237551,-1.70520541849307,0.275564499426886,0.675710563611341,6.58855578801403,0.690040833428208
p032,6.20053571642122,-0.504612740583817,0.286043272554079,0.4040728150149,5.1493279326452,0.499869395323407
p033,6.12404558274006,-0.467719746522419,0.284002229701634,0.365023621418415,5.02485276019736,0.476859201146011
p034,8.28849712335123,-1.6885485919722,0.276444287443083,0.673789670996606,6.56294387138053,0.687948216009995
p035,8.36348844636765,-1.73741870567706,0.283346700057693,0.679718467648194,6.63398666218536,0.693181013600007
p036,7.70016625484447,-1.32041953134698,0.287766250259664,0.603634476772521,6.08057358395563,0.631859018813583
p037,6.44983097398417,-0.628032142992764,0.283077426827303,0.443310859688544,5.32722062117433,0.525794721978127
p038,6.06268075732066,-0.438453106221632,0.298502675532337,0.365595555979626,4.97532490246916,0.473624269464111
p039,7.32363684736955,-1.09903611143286,0.288564902792123,0.564607280880552,5.86017335571655,0.604428864347731
p040,7.21074781661039,-1.03482433243594,0.287287159443912,0.540311744061721,5.76497271452865,0.588469415834063
p041,6.97307543077535,-0.902895917546024,0.282466926629129,0.523875011829663,5.67842740555332,0.578635633248376
p042,8.77963496759684,-2.01661042177353,0.277450618039189,0.719578982394438,7.04916644782236,0.731021787124417
p043,7.36179572107511,-1.12096661475051,0.277569723217699,0.5715040478426,5.91864012626752,0.611575513217047
p044,7.3345470861272,-1.10529476236061,0.287532145340829,0.569573989567085,5.88016759304151,0.608022587225976
p045,8.98720175162197,-2.16093299901559,0.289690170844314,0.744661261137711,7.25274016791827,0.751282777295982
p046,6.87478638491354,-0.849629419140848,0.288291574905839,0.4936668945046,5.54677746099969,0.557226918137432
p047,6.51828075252682,-0.662770965918295,0.290964657686863,0.420483622278071,5.23109142714984,0.508929514599697
p048,7.70186528993759,-1.32144364148586,0.277772259593129,0.606460646015938,6.11421308092875,0.635957832211369
p049,6.76937288410128,-0.79334226065684,0.299687308009479,0.498333215906633,5.51516650833496,0.558003773515532
p050,6.61738731263843,-0.713718231053655,0.281160204929435,0.434779310799916,5.32398486463991,0.520436497997365
p051,6.66739991906345,-0.739719850618351,0.296889759582307,0.468544727019906,5.40554212086821,0.538844077908598
p052,6.28928602639155,-0.547993028154904,0.290094094478671,0.421583915906548,5.20994237840992,0.51016601105259
p053,7.80189756509038,-1.38213733557863,0.280505698915137,0.611046572446825,6.16984790677894,0.63980276734156
p054,7.73185954131494,-1.33956017442053,0.286273070873846,0.614780568213766,6.12492845776963,0.639807085662156
p055,6.60840100594352,-0.709066987168434,0.28919557336375,0.46498616368066,5.4075865977431,0.538467190484985
p056,6.19985357106954,-0.504281702048826,0.297854384533737,0.375267523972461,5.02586012245858,0.479817753564261
p057,6.26616881936213,-0.536634184525016,0.296220073055673,0.41133698020745,5.15596361160278,0.502292701306983
p058,6.94274895741823,-0.886380211025185,0.281269237365743,0.483738823413372,5.54180098625079,0.552050273610848
p059,7.50777694876643,-1.2059163065241,0.279808030402943,0.565658664025764,5.95094905552799,0.608414062319466
p060,8.12795163489951,-1.58540467281834,0.288453958372076,0.655272290949887,6.42423805308669,0.671760776705385
p061,6.88320675286937,-0.854163115877322,0.283692077393535,0.502166647060229,5.59203477297744,0.564107408219326
p062,6.75609697036032,-0.786315048089911,0.282600626629718,0.492539598083336,5.53878045441353,0.55796125244988
p063,9.00495965473633,-2.17343677915582,0.267612957511292,0.745545280141461,7.26598615417742,0.754312214887745
p064,6.0931370781883,-0.452941756526493,0.287659485776007,0.358152379034841,4.98881433173402,0.471982114344382
p065,6.25452699433569,-0.530929707434524,0.294021111565139,0.404506693712744,5.13778145541883,0.498491578193108
p066,7.41253053972261,-1.15030121035936,0.279340287076434,0.562248320980402,5.90001470324111,0.605143224780282
p067,6.97748792897047,-0.90530494968887,0.286681584450995,0.51866040043616,5.65383732743459,0.574297435002489
p068,8.53633292208206,-1.85173389126871,0.276043467635243,0.689093262655879,6.82734141774374,0.706402655406257
p069,6.87876699422023,-0.851771968221798,0.281466862656296,0.509265064000265,5.61832670904186,0.569254582823022
p070,7.97274356576345,-1.48760774037344,0.276916283272163,0.633632367312685,6.3077896526415,0.657135974846858
p071,7.75620150788059,-1.35431448840637,0.283880236037316,0.595586722725998,6.15201157772378,0.630946039838335
p072,6.36468483465067,-0.585331592857022,0.286180757462338,0.430711305057288,5.26321718137558,0.516928581705753
p073,8.36834866019319,-1.74060118296073,0.275201181422673,0.669512558588972,6.67613285143081,0.690355515667027
p074,6.27077002116287,-0.538891691476719,0.287744949638467,0.415679802993593,5.19340140101028,0.506831603844371
p075,7.96634523099429,-1.48361660225547,0.275735147006068,0.631946410206625,6.30514087579022,0.65628491166897
p076,6.44359933668118,-0.624887749031015,0.288032434567729,0.434053581965514,5.28016335017061,0.518604938546099
p077,6.26631502138862,-0.536705890749057,0.284342102461233,0.403163195860157,5.16388026524896,0.499979277392262
p078,8.47538747481149,-1.81115914499574,0.276526244843265,0.687274264282206,6.75433774223066,0.702528281050279
p079,7.7167113864115,-1.33040188515406,0.27987798729055,0.590165027120668,6.12294011344648,0.627493998479475
p080,6.10803573795008,-0.460055776641874,0.301156477593077,0.379708743504737,5.01719810276815,0.481457029510093
p081,8.99185250731565,-2.16420532587837,0.265936560196737,0.745185004612172,7.24871785085495,0.753608921555842
p082,6.18684877871281,-0.49797756810431,0.29148909654261,0.383724692414114,5.06809946184289,0.486209674760135
p083,6.59653376149491,-0.702934276773657,0.306267449418243,0.464373274098021,5.35629145119288,0.534124161986873
p084,8.74090515809337,-1.99005463582247,0.271368278046218,0.718910650955472,6.99984008351417,0.729360040850036
p085,6.88348990501987,-0.854315667178211,0.290300434252771,0.497408859714294,5.5553077723882,0.559239466487593
p086,6.55113672850182,-0.679575903793895,0.286840029021092,0.456353525767267,5.3764045699002,0.533397388450856
p087,7.61584697120514,-1.2698790994457,0.2758029203631,0.597822224838776,6.06948462838996,0.630297445284215
p088,6.00201773068759,-0.409810874403598,0.284652238252452,0.353418153566674,4.97177960154128,0.469671510066466
p089,6.36216911605132,-0.584078597594499,0.295323739604269,0.426395654543812,5.22156359398202,0.512001096423395
p090,6.15023370323313,-0.480299340947692,0.29011016797707,0.382348555919831,5.06327887495903,0.485682391584973
p091,6.44666664710668,-0.626435089619257,0.289075880789429,0.42230606838221,5.23429405264659,0.510613132123018
p092,6.47488595149789,-0.640705199326275,0.288460297673292,0.425127671130895,5.24950526250552,0.512541006211263
p093,5.87527993210472,-0.350900727203049,0.285319010366576,0.333967928475738,4.89325137954869,0.457726974821071
p094,7.91464097267016,-1.45148221010863,0.290788438389786,0.629866134317744,6.24373704276673,0.651304502853557
p095,6.70069344345637,-0.757137740848844,0.288237251245087,0.485904082898618,5.49297800162067,0.552359831577298
p096,6.5818131516088,-0.695342331873089,0.291062419538016,0.456599290556438,5.36905228307802,0.532503411535128
p097,7.30169270777522,-1.08647608578542,0.282755272781853,0.565550218418593,5.87320104951728,0.606374241521868
p098,8.20927897447897,-1.6374020350723,0.28665651364834,0.65864865730083,6.51320881712927,0.677165462830058
p099,7.49336451302602,-1.19745518371874,0.297209735771865,0.566740535335877,5.92672696440187,0.606201147491407
p100,6.24180520154981,-0.52470817761211,0.284055326089184,0.406519430389794,5.17035036511617,0.501950188187193
